x,y
569,207
82,90
304,96
1262,1337
1759,1020
1610,691
795,116
657,1472
1419,958
1633,1240
895,151
1959,1905
1099,463
898,601
433,180
840,632
1782,510
765,169
1765,1340
189,302
898,1263
1490,767
1436,1415
1627,629
67,626
1903,345
487,621
1028,1691
79,567
1803,358
779,503
676,1155
391,914
471,55
406,984
1183,214
248,739
583,397
236,968
1762,467
484,171
1429,778
243,1401
1625,80
1961,650
1895,1699
17,816
1967,979
156,81
1471,977
127,421
516,423
1105,1552
1708,846
1442,1224
500,1873
125,1900
1721,1050
1202,976
1129,1368
192,92
1112,1325
516,924
706,1153
103,829
823,309
768,1329
1203,347
1459,1700
825,1521
282,291
244,700
515,1956
1643,1705
1672,1929
1336,332
578,255
1693,1170
1065,1745
1170,1961
111,349
1898,808
1105,1511
1387,715
146,180
821,1474
1742,373
1133,1701
915,168
1027,939
239,622
1787,1700
1680,188
122,844
1385,127
687,1335
1899,702
840,989
1846,1429
1906,1919
163,1707
944,1348
481,1460
948,98
547,1926
1714,1154
1711,1055
487,628
1755,1095
1535,1851
1506,144
1666,322
677,1943
1260,761
106,1599
1189,579
369,681
647,1503
1139,976
853,1972
1899,1033
1623,491
94,1830
1373,541
205,354
435,144
1246,507
1734,1275
1673,1021
974,207
112,1758
1162,1747
1513,1369
556,1220
674,1780
422,14
437,686
942,1495
1611,1724
1961,140
1281,210
791,1940
1214,1879
114,449
1510,499
966,964
190,146
1312,1491
1464,793
1074,710
168,331
65,1007
1955,1018
703,1858
458,1900
1432,519
1823,1493
252,47
655,1292
1429,1375
1663,344
248,1865
1149,1861
1433,737
986,263
1803,1575
286,1510
977,886
257,1269
1927,1432
1200,488
1633,348
1521,115
1727,1259
209,730
840,1584
1113,731
1592,1218
1798,1758
1452,204
1756,997
1925,389
778,183
677,1636
218,1105
1594,895
518,1512
1673,1719
263,1523
1940,375
1732,954
1199,1402
1870,397
1278,740
770,1977
108,1328
106,52
787,1915
926,1433
132,1676
1916,1079
1107,50
96,965
390,1980
559,486
901,262
762,472
1742,1939
1929,624
65,1429
426,1534
1951,1156
1383,1742
738,1561
203,714
1260,712
1750,450
1180,821
1801,449
602,749
1274,926
1248,603
1317,839
1168,1938
346,127
1412,50
99,1657
509,552
472,152
989,957
926,1349
1125,1818
1019,1891
346,247
678,792
1351,450
51,1293
1378,1611
119,742
1725,529
718,1270
793,633
171,1697
587,1250
763,595
52,908
957,869
395,1164
1021,1461
106,1559
1800,1925
989,1109
822,1630
612,1751
505,1669
1194,1637
62,160
1147,1017
1315,416
774,926
1293,1939
1489,29
1102,23
1239,916
1931,1931
1972,580
577,216
1238,3
684,995
1574,698
902,2
369,855
964,793
999,980
1474,1104
1793,1575
899,997
369,4
1308,504
1806,862
898,1923
1989,320
442,98
1812,892
1383,1527
761,168
654,711
1766,1485
1448,456
1242,353
370,1704
1476,1552
1472,901
1351,778
664,1356
211,1328
922,296
100,540
1258,759
1947,1876
230,4
1099,750
412,572
1392,683
1811,214
791,20
1603,664
413,1504
283,1429
1089,1409
1925,717
1183,644
1441,1174
1764,1773
1563,1312
317,693
1684,191
526,634
858,1687
1454,549
1629,825
1267,890
1822,786
42,1258
449,1757
1249,960
1761,712
356,1084
459,1812
1676,1910
902,1754
29,219
1718,1819
864,334
504,504
768,875
353,171
379,335
1786,1266
833,1305
125,357
1965,1633
932,1308
1497,1873
574,1830
1413,1438
796,419
510,1318
1424,398
1168,1944
1493,1620
1945,240
1680,1021
4,371
1036,116
30,1311
1950,1858
656,1880
1006,699
930,1232
647,754
1661,760
790,475
1685,670
1975,1816
1167,1133
117,1735
335,1080
200,200
1384,1649
275,1015
682,788
1482,723
1902,1216
718,1706
1413,1308
862,1546
1987,1841
1423,724
588,979
1779,1761
63,1283
463,1004
627,871
437,33
1027,138
974,882
440,619
266,1671
174,762
1120,1089
645,1869
1822,1346
812,1370
1018,776
1480,1761
1171,132
1388,302
130,1052
1992,1606
586,578
915,503
736,237
1273,1764
1667,1022
486,1527
1229,464
1151,1387
984,810
638,611
965,83
734,1257
1429,1568
975,1056
930,1166
961,1743
614,999
704,1439
1100,1673
1020,238
842,1149
81,177
474,48
1204,1325
356,1787
1356,964
1792,1056
444,136
1595,650
50,1141
1701,131
949,1263
574,1050
106,541
961,1296
1352,1456
1947,1019
624,1138
86,613
276,319
997,226
1749,241
424,1329
618,1770
1351,1512
1435,1477
1938,1099
1803,1224
1195,1272
1757,1721
351,62
259,1704
938,1602
742,1387
193,1386
432,297
1801,1800
1757,1878
792,1957
34,312
5,185
902,1580
1690,1630
1898,1038
647,1169
112,120
217,1967
535,1276
1517,576
491,1723
1219,274
822,596
218,328
1979,19
1548,911
343,360
988,293
441,1767
788,326
1221,1665
708,1074
1056,560
455,1906
45,1960
856,1288
792,509
451,1239
1602,1857
757,1397
968,841
1569,1120
1254,1472
1529,719
107,1673
19,1403
1234,1851
245,1220
116,108
104,1404
1692,423
617,763
636,1078
631,127
853,1539
1009,287
482,803
523,1968
847,1139
1241,446
33,575
1273,277
195,510
1017,811
262,853
76,486
1860,1155
1544,1036
1405,951
1349,85
915,1451
1399,391
1040,1184
289,223
1723,1568
154,22
1551,1231
1838,1287
69,1351
1632,1536
1792,1652
1889,697
1626,1343
1687,788
1510,1052
204,700
242,1448
1274,1865
1978,792
211,373
1233,479
359,1793
1223,196
1096,1606
1735,1644
1061,1073
400,555
1782,1538
1700,1663
1553,1939
59,132
113,1631
379,1704
1407,164
1560,735
1566,524
796,875
1645,1839
1011,1171
1776,632
1532,220
47,1106
1004,187
486,1454
822,952
1543,1612
1570,367
175,0
1689,597
1500,193
1994,568
1279,490
1989,872
133,1918
1739,1240
49,745
722,738
1034,114
701,655
962,219
540,1124
1160,1254
252,717
1537,456
186,514
1516,411
693,1145
472,390
980,1911
934,628
1887,1036
119,433
211,6
1050,730
1756,96
354,940
277,1165
445,1276
807,1458
554,1658
1573,1308
642,1962
886,438
1503,791
145,1592
10,1026
1500,1142
1561,1733
1636,450
1128,1543
1113,1731
1993,1103
1893,1730
766,1766
384,1500
322,988
1900,1131
1262,387
940,1823
34,1852
1747,780
1864,1895
1018,1691
985,590
605,1110
724,730
225,894
800,1304
959,552
1511,1712
1378,1222
367,1563
1036,150
413,1299
879,1898
747,425
1558,1583
1955,319
702,1810
803,1231
260,201
251,902
92,176
1580,910
880,1297
78,1375
454,1558
766,551
1356,1134
1317,1028
585,176
1011,1994
1513,1677
72,1180
1811,1833
1893,1058
636,1925
1744,1068
1267,95
1983,1187
261,1993
680,1298
1099,543
1999,1747
414,860
911,270
174,420
1702,1663
205,263
263,735
1300,807
1849,21
743,788
520,1544
1158,1725
174,1288
40,945
1280,1486
718,964
1429,1409
1196,1799
1991,1133
1520,1450
29,65
247,1994
964,523
1512,1461
609,1358
1641,572
1217,242
459,1496
1822,323
443,259
1975,1953
1101,755
283,1704
1497,250
179,1842
48,1350
1527,465
212,1575
171,294
1764,294
844,785
562,543
468,1907
50,1029
32,39
939,963
940,251
1616,313
966,1764
1821,1676
839,331
943,988
1102,217
1128,1520
21,1908
1463,789
551,62
1287,899
908,1714
388,1065
7,296
1927,1546
1974,124
46,5
1680,398
545,1852
1335,1062
1596,391
1001,727
1488,993
994,1479
13,82
1226,1996
1250,800
987,80
581,1452
679,205
646,1552
1279,1049
1951,469
1222,725
261,1013
98,1219
328,1701
966,649
1867,1481
296,1174
451,1476
1780,1711
542,1900
1677,1574
937,195
1132,1637
752,29
63,1554
1610,1076
1703,394
742,620
1168,1793
852,469
1538,1708
1054,95
487,1137
1907,1956
1564,1379
684,455
1555,1021
1241,729
1065,299
902,1723
621,1213
642,493
443,1512
451,1144
448,240
1052,1689
429,1805
612,70
1401,583
715,953
1750,542
317,1127
261,1308
420,597
1958,94
536,1558
1732,559
511,359
1076,1506
379,1372
1223,673
1506,1450
276,1868
386,1520
1427,566
1094,755
93,275
498,251
1935,1931
1378,1003
849,1349
539,460
753,1375
1817,832
183,1899
1320,546
638,1556
785,1117
1330,1436
259,1708
1250,1093
883,953
1495,764
685,1669
185,1800
1110,1569
766,1617
888,1194
801,131
354,526
1992,899
1401,1139
81,1343
275,1418
1637,1799
736,1202
25,1245
1244,1650
1800,932
1233,388
1698,1451
13,1551
1646,1958
1076,1000
1586,204
835,1052
886,1625
1548,456
1693,536
1158,1468
988,1300
1971,149
1602,1825
208,126
1350,1700
574,1348
378,978
1631,1016
520,155
911,72
66,1936
639,1554
1122,875
1068,1273
489,1988
1395,632
709,1826
928,298
1658,583
445,1223
1405,1403
1923,1184
820,1895
1625,393
1424,511
1163,1135
399,859
1939,1442
1462,430
1882,614
965,1188
1262,1967
987,888
1638,990
831,1130
750,1299
65,661
901,1864
404,857
1858,245
362,1958
610,1756
912,424
79,1803
239,1500
1571,1943
1304,1584
788,1798
1545,1429
1403,1348
2,1590
1057,539
352,1328
1286,426
573,1129
1830,254
769,666
308,1225
1644,1996
1968,1445
1679,267
1619,1489
1895,40
425,1129
860,1729
361,655
107,1775
1713,1327
287,868
243,1511
794,1601
1377,1164
645,1238
133,379
922,994
1260,1322
1991,1672
126,70
19,651
1736,1376
335,658
271,555
1281,1982
1957,107
1457,105
420,289
350,941
25,1000
468,492
580,1472
713,394
1630,1564
180,1270
1700,1739
59,54
1340,1694
594,1080
1296,1484
1117,599
379,536
1512,1053
1230,617
133,971
1371,362
1287,60
859,374
1337,715
813,434
1993,1497
877,410
298,1719
1732,1896
178,1853
1471,1658
188,987
576,1884
1945,554
249,1166
856,1216
843,809
679,380
1822,1540
861,159
1969,1901
1798,1420
1506,1075
815,344
1037,1046
523,1512
1588,463
992,1064
890,1125
322,1430
211,1217
837,1530
1819,1223
414,47
1242,1963
1926,1331
1696,1274
393,427
274,147
1238,1473
292,1812
1849,1544
90,1401
643,522
242,1436
1631,261
941,9
195,841
768,13
206,1734
59,382
757,812
1026,1704
1069,682
386,276
1563,1727
1037,279
969,583
845,232
821,1848
987,758
959,1992
185,353
1269,1129
1249,682
1682,843
1523,172
1956,1552
834,1679
843,789
881,1011
1679,1591
1103,1730
1846,924
1663,666
304,44
355,940
1302,682
1326,696
521,1357
1331,737
449,1136
1696,898
384,1136
148,548
1724,197
1903,315
1194,1413
162,191
338,503
1906,176
658,70
1043,1741
1621,1174
1457,1978
205,1485
1502,384
1392,329
683,1927
1947,1723
1143,1795
1019,1478
1391,1852
1779,887
1956,166
1606,482
1267,549
821,399
1408,393
1859,9
1823,115
1986,1189
119,419
125,1024
1008,1919
1904,779
1992,1792
950,1989
1991,519
850,410
1222,483
1996,840
1465,645
1367,159
1650,253
271,1739
867,1999
267,1426
1027,807
1598,1553
331,1563
62,1017
1357,1886
705,1427
1588,131
1379,1284
515,977
1948,1001
1135,1554
1912,783
356,256
1031,1778
1490,183
221,1975
799,594
1134,1327
559,609
1343,1616
1133,580
1816,407
1493,198
1322,376
1516,171
1646,1357
239,1637
1753,1702
1373,1632
1236,1626
732,1026
413,1905
1189,1507
1128,111
1145,241
913,169
1148,659
635,849
290,613
47,55
1628,1683
1716,1149
1858,1623
1042,3
857,1015
1867,195
527,1453
1688,236
785,508
1945,654
179,903
1729,1011
1505,592
932,839
1015,1908
590,918
709,1594
1043,684
1382,1985
230,868
1954,1229
1591,1658
1241,471
1400,76
486,1015
1119,376
25,1197
1209,377
35,1957
1656,1887
964,480
1189,1679
1127,66
932,1788
363,1721
1528,1929
1118,1988
1835,281
90,628
178,1652
1791,1456
964,399
765,1501
367,1753
1197,1367
409,1726
42,1940
1260,1191
464,1742
1205,96
1886,465
481,1451
1142,784
1640,1315
479,1529
1335,1857
743,1679
132,366
1859,912
538,1094
1769,1934
1155,1898
1253,113
872,1604
1687,1291
1669,1714
612,283
207,1647
1938,1757
968,895
708,337
1655,1037
1615,1488
1959,803
1596,1176
949,1706
1934,909
816,960
1600,337
1996,1630
1999,702
610,702
725,217
760,1357
1136,452
919,1315
1186,678
52,1662
1683,1890
1755,1646
270,1998
105,433
1206,1661
1591,1384
276,402
909,449
239,1835
714,895
475,463
255,968
6,1333
1692,1481
837,28
476,103
1022,466
796,903
928,1465
1991,143
1758,1536
283,159
733,363
1338,1508
60,696
1182,808
1257,1525
579,1259
35,1645
511,1821
105,1338
1851,841
932,1768
1573,329
771,1741
535,1097
413,12
196,1287
1072,1316
1860,681
1237,328
926,492
397,1815
1135,184
256,1674
1636,514
1490,405
1351,781
1098,1881
584,1256
471,1286
1146,810
1887,1531
1987,428
585,1443
548,1987
355,192
105,1414
1900,1717
1298,1248
1450,1275
833,705
871,377
411,840
40,143
422,1683
175,1333
1203,500
251,1815
5,1105
1390,348
1133,470
1062,375
150,479
725,821
1898,263
711,1533
1551,1551
1189,738
1641,406
350,1877
1189,908
844,320
404,90
854,1082
1658,552
507,1786
1804,684
1083,856
1739,1876
1509,765
947,1705
1955,188
1274,1843
1439,1832
1977,1010
813,1243
319,592
557,673
989,47
749,40
82,63
263,1685
1038,1684
559,856
398,1289
1613,790
1063,751
958,1196
1544,677
415,48
1063,324
144,1263
66,1561
1855,1669
1267,527
1952,896
579,1559
1390,926
1887,1634
709,1424
148,1495
282,1644
142,1745
1005,1499
698,1466
1481,1816
1354,280
215,1590
168,1593
594,1669
1820,1529
912,1549
846,1346
412,601
1043,1347
128,999
1473,782
410,1554
1695,446
130,686
897,1967
1896,1481
686,30
1872,1978
1681,1567
570,350
997,30
1768,176
870,1950
1603,1573
1816,1973
1224,299
572,1902
439,1896
1293,1065
1688,1105
1589,1881
364,369
999,1795
395,1718
668,281
164,439
1604,1384
1824,971
291,191
945,421
595,955
610,96
1894,774
1547,1177
575,688
588,742
748,1877
1492,1796
878,853
114,906
692,836
1568,21
111,1401
899,1852
1491,1572
1704,485
1314,628
449,1779
92,81
1039,1234
1576,917
1124,1753
1669,995
1691,735
990,1669
569,462
1789,1809
324,219
622,426
348,88
1681,1549
268,1331
1405,800
176,1963
995,423
1349,1524
1223,371
1515,977
703,879
194,1291
191,1404
915,772
1608,1670
1406,317
1918,815
1639,234
1934,1887
1609,1590
553,1207
762,1331
1838,1936
902,1355
673,288
158,449
818,440
749,164
1237,1218
117,870
418,1271
1632,817
1696,514
381,1566
150,122
1224,1829
1738,1973
675,788
830,380
730,1786
912,918
1786,166
1740,336
1512,1592
892,467
974,120
347,633
254,476
270,1530
1748,1497
269,1794
1581,1120
736,550
666,606
1313,811
1735,1263
955,1768
1405,27
1777,1849
1960,292
1014,15
1743,54
1795,1922
1327,484
331,1482
326,495
939,1380
378,796
614,1111
1080,533
238,907
1545,1241
793,198
809,987
1748,932
196,106
656,1728
1464,1865
742,1
721,1724
788,1979
1135,951
905,49
1699,1404
415,154
984,1610
1800,1140
293,72
93,1580
431,242
1382,1348
1782,589
1722,1575
397,557
1963,77
294,1150
682,82
246,1961
901,989
181,1727
942,120
68,227
1028,922
1172,639
617,158
975,7
286,944
1870,1345
563,529
439,1445
1066,1372
691,816
72,838
615,1606
766,6
970,1481
173,1106
1622,911
1851,1348
623,1950
403,556
837,641
1327,343
822,1182
1952,158
1020,1978
1133,515
1696,690
840,1063
451,1812
1116,1308
1049,1797
714,1180
45,896
924,954
1391,871
349,8
1997,1440
566,100
1629,722
1676,1152
771,1367
877,164
135,512
1481,1258
1385,1509
267,39
549,544
732,23
1658,605
167,550
651,1376
443,1406
42,424
779,185
922,352
1432,1960
131,88
150,1816
1047,92
140,1309
876,148
652,1514
1263,1489
293,1288
1976,1715
1587,1018
1305,482
784,545
1971,1106
828,1311
200,942
793,1986
1882,630
294,170
623,1058
934,1754
764,413
1879,398
1072,355
46,1595
1086,752
1684,403
541,1334
1007,1578
242,1188
1475,639
542,890
455,1706
1719,1560
403,1654
202,1673
1833,358
873,1464
1913,181
163,907
71,1952
1298,1844
54,748
1633,1877
765,1451
1345,1483
372,1081
165,1739
1371,747
592,1184
191,1000
665,1232
1601,1478
1832,1097
601,740
450,1342
886,373
1927,686
79,1229
253,216
1288,266
1731,1949
785,1297
571,892
671,1529
747,1831
405,940
814,467
1677,505
1675,232
1604,154
250,207
1796,828
1998,1612
149,319
1423,84
637,1750
1738,1009
381,1977
1835,545
1591,738
466,19
9,277
981,1780
261,724
1713,557
493,1659
1110,431
1372,1172
341,1583
1860,778
502,927
1768,1909
22,975
660,1773
26,80
1039,1839
1180,450
282,203
552,630
753,1264
1539,1967
638,793
216,1358
989,33
343,506
847,765
1556,1260
1684,730
1870,1460
551,325
1147,1045
1851,1298
464,1417
483,141
1210,880
639,529
1883,882
326,1963
311,873
1918,861
731,1363
154,759
1861,643
395,1258
954,540
913,931
1468,658
876,884
1949,1590
404,1457
1895,170
731,1946
1663,1696
1561,1059
1268,139
165,521
148,502
1983,677
1104,779
171,1970
175,1694
271,322
911,975
1979,1563
1032,1067
388,179
481,1035
1028,367
808,842
1855,989
1693,1098
896,612
1959,1600
1103,314
52,719
1054,1617
19,234
613,1699
894,455
919,370
333,1618
122,1378
1742,1178
898,1875
543,1009
618,960
1372,1910
1925,373
1329,450
144,303
876,1802
910,988
646,45
844,512
1656,218
47,1455
107,373
1423,336
1910,1169
1324,811
1407,1669
1931,1304
149,1084
889,270
1554,40
1267,1328
1696,591
380,1119
761,682
1730,1151
939,214
1999,437
1646,1785
1089,1883
161,1223
383,213
800,1722
389,444
1125,1690
608,40
429,544
658,982
1565,1236
974,1993
1057,45
1677,1175
259,494
1705,1498
1275,512
1310,1442
953,553
1407,1294
60,1454
513,1896
254,969
334,1566
970,532
151,471
404,1916
1895,1833
1830,1737
607,1724
1454,448
479,1912
1294,565
814,972
418,424
1867,643
58,1073
1704,943
1119,911
447,687
1758,374
1920,84
507,833
982,1152
218,951
922,436
1694,1984
756,919
646,1036
937,1714
1333,1596
491,1517
1727,1338
420,814
10,1797
773,723
1403,1313
1709,250
768,1961
1354,152
1366,19
559,1988
1975,1725
1990,1504
648,1008
1411,1693
584,534
1712,611
964,72
951,709
978,983
909,88
609,270
1901,295
0,1580
832,981
274,566
821,1083
245,1725
283,68
604,336
769,905
1955,593
1847,705
1323,245
1703,778
1015,1896
1493,1834
274,1751
96,1254
1122,1376
489,940
965,1365
668,22
416,686
971,1020
389,1771
832,100
1907,1575
1951,539
988,981
449,1155
1559,931
541,1415
1635,170
1348,766
970,578
128,1024
1604,3
986,462
1291,647
1641,398
1980,315
1946,85
1341,1006
890,502
1263,586
580,1421
1014,1344
1693,1893
919,1428
362,599
694,253
1216,1021
1608,1976
182,860
1588,296
1364,625
1989,395
90,1765
462,1927
514,516
952,848
498,1419
1958,881
1247,129
744,1534
1797,1793
1407,964
1201,980
179,592
1657,1044
341,300
99,1678
1055,148
259,1135
1741,973
338,805
289,1398
609,1509
1681,779
1133,829
411,987
897,708
1569,1377
1207,342
1929,592
455,1963
1363,670
1115,905
420,261
224,363
1126,747
491,624
980,1477
790,1373
851,1590
1549,1
1347,817
1803,849
1855,978
1963,518
64,153
1912,1163
1087,981
892,488
1008,196
1179,1818
941,1698
1030,884
325,532
1788,251
970,1843
10,1152
642,1508
250,1878
432,1456
701,562
1381,90
506,1106
199,1830
1128,949
1668,1463
1765,204
1358,18
660,1174
202,813
856,1333
189,1198
1749,1780
1316,1849
19,1395
1564,1892
1728,1127
498,1591
344,38
479,1699
1246,1724
1451,667
873,679
1587,1856
1094,1142
792,1420
1918,737
1945,764
437,1060
1039,1794
858,727
801,363
194,314
490,283
1981,974
912,1988
849,523
685,1817
1588,931
1065,566
378,1852
1871,637
1413,378
477,1560
1821,1908
1348,1916
1955,1399
1599,1640
1537,1815
188,173
26,1185
892,1212
55,825
318,547
1205,135
775,1476
1910,1314
1717,1903
870,833
1421,1291
1981,881
62,492
434,1827
189,1501
1990,104
1690,411
1162,1475
200,864
1952,885
164,1222
112,1867
1501,1457
687,640
1150,820
779,1465
1060,274
47,1062
1113,951
794,800
1338,1691
1775,1882
67,353
1566,1371
1885,808
979,1766
283,1783
884,487
427,1462
1056,385
1440,780
101,1410
904,100
985,1674
1138,1442
920,1509
450,812
1037,1422
592,719
295,902
887,226
976,355
159,1424
1431,1020
1598,139
1175,561
1019,1702
1804,1119
1158,1962
1842,1293
568,971
152,936
937,1391
119,607
1205,786
1663,53
239,18
1152,1144
1339,434
1383,773
1519,1988
819,829
1410,1419
484,470
1311,1373
336,1339
158,1849
841,1282
1026,1591
1806,1731
966,1166
1349,288
123,490
46,1648
1167,1617
202,1640
1388,851
698,1677
1857,1120
565,709
1515,910
74,1309
828,1093
1234,1184
701,1088
365,286
467,772
1883,244
777,57
1212,1204
1373,1423
18,443
711,964
359,1805
948,1907
221,467
883,10
1630,1880
449,1254
1848,190
1842,195
785,330
884,713
1580,956
1955,1759
877,672
850,262
1731,1797
1076,270
1576,1235
1366,1339
1501,1001
1063,1444
70,248
1139,1879
1978,310
1638,795
1455,1590
1159,983
589,1434
433,1174
587,69
1827,471
289,1454
1780,1909
1993,66
39,38
1896,598
978,320
1573,1323
996,1191
1599,1526
804,144
120,915
44,324
843,1484
115,50
1913,947
925,257
1392,1023
583,1196
1926,781
926,118
587,825
305,45
1292,846
787,1994
1572,639
569,1710
642,893
126,627
837,1222
1449,661
247,510
185,116
551,1058
241,188
960,1554
1423,651
361,1837
609,134
1263,1486
1088,155
781,1049
146,1843
891,239
242,1014
1366,165
1621,1356
776,1861
1306,1952
83,110
54,1904
988,9
990,404
1456,1579
1793,576
1515,1106
630,914
232,473
643,1784
28,391
869,1100
891,478
449,631
160,1936
1692,1692
1799,100
166,144
1607,1850
1443,921
1373,773
1150,1888
1491,1119
1127,571
607,946
435,391
166,1781
1150,1610
430,108
529,729
1293,1972
606,152
1534,11
932,375
1340,1135
848,1024
1985,1875
1451,33
461,181
468,1171
520,304
1141,1249
1523,496
118,1795
467,1212
1290,1628
1299,145
1998,1355
729,978
139,1034
1286,1489
736,1813
1209,1133
1271,400
1309,922
1616,679
569,764
329,1340
1632,1164
1352,694
668,1167
97,1231
1069,1020
160,578
479,324
842,756
1542,1647
710,1557
1276,897
1540,1848
1527,863
963,1937
1317,1753
889,1895
1567,551
579,1201
1689,552
326,386
114,316
318,861
